,cifar10_accuracy,cifar10_accuracy_ci,cifar10.2-test_accuracy,cifar10.2-test_accuracy_ci,pretrained,model_family,model_hparams
0,0.6551,"(0.6456894668728717, 0.6644201270832805)",0.516,"(0.493838276433975, 0.5381147513787066)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
1,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
2,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 4.037017258596558e-05, 'momentum': 0.9272727272727272, 'weight_decay': 236.4489412645407, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1553061224489796}"
3,0.3048,"(0.295785745572225, 0.31392806039365595)",0.2205,"(0.20250058483290795, 0.23932243819333598)",False,RandFeaturesCoatesNg_2to1,"{'num_filters': 2, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
4,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1747528400007683, 'momentum': 0.8171717171717171, 'weight_decay': 5.336699231206307, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.3510204081632653}"
5,0.8603,"(0.853350364404295, 0.867039073517552)",0.72,"(0.699759381548924, 0.7395936771370433)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
6,0.3638,"(0.3543615671058206, 0.3733178156628849)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 3.853528593710527e-06, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
7,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 3.0538555088334123e+19, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
8,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 1450828778495.943, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
9,0.6934,"(0.6842575899264652, 0.7024296548949669)",0.5385,"(0.516359015027554, 0.5605279540465822)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
10,0.9223,"(0.9168792536152189, 0.9274732536538934)",0.7915,"(0.7730250722661758, 0.8091162581278932)",False,RegNetX_200MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
11,0.9226,"(0.9171884463148537, 0.9277638797118638)",0.7895,"(0.7709655632515451, 0.8071817122534377)",True,imgnt_vgg11,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
12,0.9167,"(0.9111117434195708, 0.9220441400737518)",0.7865,"(0.7678775069142669, 0.8042786831622569)",False,ResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
